post_date,transaction_id,tag_no,unit,cost_center,entry_time,exit_time,toll_loc_name_start,entry_plaza,toll_loc_name_end,exit_plaza,toll_class,agency,amount,transactiondesc
2025-10-10,885588363815247,B6010057263,S23027,,2025-10-09 04:28:47+00:00,,Lawrence US-59S  Lecompton K-10,KTA-KTA201WB,nan,-,,KTA,0.24,
2025-10-14,440444101009215,B6010167872,8310,,2025-10-13 18:44:38+00:00,,Cameron Plaza,H13-CAMRO,nan,-,,HCTRA,6.54,
2025-10-13,403321873628737,B6010086545,8405,,2025-10-09 14:05:55+00:00,,gpw-rfzml-16,GPW-RFZML,nan,-,,HCTRA,3.28,
2025-10-11,334629978360289,R648023-TX,8109,,2025-10-10 12:25:06+00:00,,East Plaza,1853,nan,-,,SCNT,7.6,
2025-10-15,309602040005947,B6010057268,S23012,,2025-10-13 21:31:52+00:00,,Exit 264 - U.S. 601,M09,nan,-,,NCTA,0.29,
2025-10-15,525226918074263,B6010167841,8324,,2025-10-14 10:17:04+00:00,,Sam Houston NE Mainlane,SHT-SAMNE-10,nan,-,,HCTRA,7.0,
2025-10-15,135343061857095,B6010065787,8330,,2025-10-14 12:39:50+00:00,,East Plaza,1853,nan,-,,SCNT,7.6,
2025-10-17,200343541398014,S0425HY-TN,8630,,2025-10-14 11:04:59+00:00,,Abraham Lincoln Bridge,DTN,nan,-,,RIVERLIN,13.33,
2025-10-10,324238310743858,B6010057268,S23012,,2025-10-09 08:13:14+00:00,,Exit 257 - Indian Trail-Fairview Road,M04,nan,-,,NCTA,0.36,
2025-10-11,145259105603485,B6010107762,8459,,2025-10-09 11:09:28+00:00,,130-skysp-02 4104,13C-SKYSB,nan,-,,HCTRA,12.73,
2025-10-15,670870399941157,B6010174711,79,,2025-10-07 23:18:09+00:00,,West Main Plaza (Hyde Park),101720,nan,-,,THEA,5.6,
2025-10-19,155288797816588,B6010057279,S24005,,2025-10-14 07:22:46+00:00,,heb-nwclml,HEB-NWCLML-13,nan,-,,OTA,1.79,
2025-10-15,527041198422596,B6010052900,8616,,2025-10-13 17:45:18+00:00,,Cameron Plaza,H13-CAMRO,nan,-,,HCTRA,6.54,
2025-10-19,580231676886008,B6010057271,S23022,,2025-10-14 09:02:07+00:00,,Tulsa,TRN-TULSA-06,nan,-,,OTA,5.4,
2025-10-15,713303936446725,B6010311304,None,,2025-10-14 16:12:43+00:00,,Lewis and Clark Bridge,ECS,nan,-,,RIVERLIN,13.33,
2025-10-16,250045444558696,B6010052909,8610,,2025-10-14 09:09:51+00:00,,T 331,T331,nan,-,,PTC,6.32,
2025-10-15,318041399091235,B6010204247,8436,,2025-10-14 05:18:20+00:00,,Lower Tarrant Mainlane Gantry (MLG11),PGBW-MLG11-10,nan,-,,NTTA,5.16,
2025-10-15,380706512966755,B6010174709,251,,2025-10-13 22:59:22+00:00,,0.4 - Mainline Plaza (Z-Move),4CO,nan,-,,FDOT,1.71,
2025-10-10,352623909014359,B6010065788,8115,,2025-10-09 16:42:45+00:00,,Wichita I-135/I-235  Haysville-Derby,KTA-KTA040SB,nan,-,,KTA,0.41,
2025-10-10,780155158481313,B6010057263,S23027,,2025-10-09 15:38:53+00:00,,Wichita I-135/I-235  Haysville-Derby,KTA-KTA040SB,nan,-,,KTA,0.14,
2025-10-15,516762648684133,B6010107768,8509,,2025-10-14 11:34:27+00:00,,Shiloh Road (SHIRD),PGBT-SHIRD-03,nan,-,,NTTA,3.16,
2025-10-10,192575833446041,B6010065788,8115,,2025-10-09 16:40:17+00:00,,Haysville-Derby 71st  Mulvane K-53,KTA-KTA036SB,nan,-,,KTA,0.83,
2025-10-13,289183896441023,B5010061406,8525,,2025-10-12 08:38:34+00:00,,Lower Tarrant - South (SLTRD),PGBW-SLTRD-03,nan,-,,NTTA,1.36,
2025-10-14,746176020515732,B6010086474,8648,,2025-10-13 03:47:23+00:00,,Airport Plaza,H13-APORT,nan,-,,HCTRA,6.54,
2025-10-11,258314544144696,B6010284390,8447,,2025-10-10 19:03:37+00:00,,John F Kennedy Bridge-RiverLink,DTS,nan,-,,RIVERLIN,13.33,
2025-10-11,248380792767268,B6010066093,S24015,,2025-10-08 03:57:20+00:00,,SR874 North (at Tpke),107320,nan,-,,MDX,0.23,
2025-10-15,134161367309211,U034955-TN,2831,,2025-10-10 16:20:16+00:00,,I635-DNT Dallas North Tollway Entrance,I635-DNT-12,nan,-,,NTTA,28.8,
2025-10-12,185305768525849,B6010174710,8603,,2025-10-10 11:38:40+00:00,,Rankin Rd,HDY-RANKN-78,nan,-,,HCTRA,4.0,
2025-10-17,301204482911429,B5010022290,S22013,,2025-10-13 17:02:36+00:00,,Tonganoxie-Eudora: 222nd St  Lawrence : US-59,KTA-KTA207WB,nan,-,,KTA,0.38,
2025-10-18,279465246464655,B5010022290,S22013,,2025-10-14 16:14:50+00:00,,Southern Terminal: Border  US-160,KTA-KTA017SB,nan,-,,KTA,0.91,
2025-10-14,188389895725603,B6010125734,S24016,,2025-10-13 10:50:11+00:00,,32 - Okeechobee Plaza,033,nan,-,,FDOT,1.16,
2025-10-13,248050739294716,B6010057271,S23022,,2025-10-10 23:17:31+00:00,,US 69,CHR-US69-04,nan,-,,OTA,3.08,
2025-10-14,445463452914765,B6010086545,8405,,2025-10-11 14:41:32+00:00,,Toll Gantry 1 288 ML Brays Bayou NB,288-BRAYS-02,nan,-,,HCTRA,5.72,
2025-10-13,346199253955885,B5010061410,8531,,2025-10-10 18:51:07+00:00,,Andover 21st  Wichita K-96,KTA-KTA056SB,nan,-,,KTA,0.55,
2025-10-15,246323904205942,B6010039141,8312,,2025-10-13 15:08:51+00:00,,130-skynp-01 4103,13C-SKYNB,nan,-,,HCTRA,12.73,
2025-10-10,221107708393760,B5010058942,259,,2025-10-09 05:27:40+00:00,,Lawrence US-59S  Lecompton K-10,KTA-KTA201WB,nan,-,,KTA,0.69,
2025-10-17,314991305248048,B5010022290,S22013,,2025-10-13 14:50:56+00:00,,El Dorado US-77  Andover 21st,KTA-KTA061SB,nan,-,,KTA,0.67,
2025-10-14,360728004880214,B6010219218,8402,,2025-10-13 13:16:37+00:00,,Wichita K-15  I-135/I-235,KTA-KTA043NB,nan,-,,KTA,0.41,
2025-10-09,328025977624026,B5010036855,266,,2025-10-08 00:05:51+00:00,,El Dorado US-77  US-254,KTA-KTA073SB,nan,-,,KTA,0.69,
2025-10-23,669774117413844,B6010174786,S20046,,2025-10-08 11:24:56+00:00,,1 - Delaware Memorial Bridge,1,nan,-,,NJTP,57.65,
2025-10-12,276569870114318,B6010107791,8657,,2025-10-11 17:35:20+00:00,,SH 31 Plaza Mainline,NE49-SH31S-1,nan,-,,CTRMA,6.0,
2025-10-09,270649383873106,B6010125735,S24018,,2025-10-07 23:55:02+00:00,,138 - Becker Road,004131,nan,-,,FDOT,0.43,
2025-10-10,914505450441934,B6010107803,8660,,2025-10-09 12:40:09+00:00,,El Dorado US-77  Andover 21st,KTA-KTA061SB,nan,-,,KTA,1.93,
2025-10-12,281149554422003,B6010205371,8401,,2025-10-10 14:50:25+00:00,,Sam Houston North Plaza,SHT-SAMN-07,nan,-,,HCTRA,7.0,
2025-10-10,578280935378348,B5010058942,259,,2025-10-09 22:01:23+00:00,,Lawrence : US-59,KTA-KTA202EB,nan,-,,KTA,0.28,
2025-10-12,314972204656284,B6010119884,8406,,2025-10-10 20:51:27+00:00,,Airport Plaza,H13-APORT,nan,-,,HCTRA,6.54,
2025-10-10,214743023992671,B5010036855,266,,2025-10-09 23:05:31+00:00,,Wichita K-15  I-135/I-235,KTA-KTA043NB,nan,-,,KTA,0.41,
2025-10-09,143296083026230,B6010125734,S24016,,2025-10-08 11:23:10+00:00,,0.4 - Mainline Plaza (Z-Move),4CO,nan,-,,FDOT,0.57,
2025-11-06,339188221122471,B6010035600,8555,,2025-10-14 13:51:32+00:00,,Exit 43,H 43,nan,-,,PTC,29.19,
2025-10-12,110997630948552,B6010075205,8644,,2025-10-10 14:09:46+00:00,,Dalworth Street (DALST),PGBW-DALST-02,nan,-,,NTTA,1.7,
2025-10-13,177528534370202,B6010034700,8544,,2025-10-10 18:13:09+00:00,,h13-mustc-06,H13-MUSTC,nan,-,,HCTRA,6.54,
2025-10-12,238995978392414,B6010105909,8413,,2025-10-10 08:48:04+00:00,,A 113,A113,nan,-,,PTC,7.16,
2025-10-16,324153697315467,B6010035600,8555,,2025-10-14 14:07:54+00:00,,T 341,T341,nan,-,,PTC,5.48,
2025-10-15,291254171804522,B6010057268,S23012,,2025-10-14 08:11:23+00:00,,Exit 259 - Unionville-Indian Trail Road,M06,nan,-,,NCTA,0.22,
2025-10-15,206701120608271,B5010022290,S22013,,2025-10-14 04:56:43+00:00,,Tonganoxie-Eudora: 222nd St  Lawrence : US-59,KTA-KTA207WB,nan,-,,KTA,0.38,
2025-10-09,181806669565267,B5010022319,8627,,2025-10-08 14:23:16+00:00,,328 - Mitchell Boulevard Mainline,328,nan,-,,ILTOLL,2.5,
2025-10-12,135240110640051,B6010107762,8459,,2025-10-10 10:40:37+00:00,,Sam Houston North Plaza,SHT-SAMN-05,nan,-,,HCTRA,7.0,
2025-10-10,221769480003118,B6010066068,S24024,,2025-10-07 21:37:46+00:00,,Exit 259 - Unionville-Indian Trail Road,M05,nan,-,,NCTA,0.22,
2025-10-10,331607323843179,B5010061403,8524,,2025-10-09 12:06:23+00:00,,Exit 259 - Unionville-Indian Trail Road,M06,nan,-,,NCTA,0.88,
2025-10-14,105552602151525,B6010108042,8618,,2025-10-13 11:23:42+00:00,,9 - Elgin Mainline,9,nan,-,,ILTOLL,8.15,
2025-10-15,186044849066217,B6010057263,S23027,,2025-10-14 17:40:10+00:00,,Eastern Terminal,KTA-KTA217WB,nan,-,,KTA,1.2,
2025-10-11,150884911675199,B5010061410,8531,,2025-10-10 18:59:15+00:00,,Lawrence : US-59,KTA-KTA202EB,nan,-,,KTA,0.69,
2025-10-14,293698407630291,B6010219218,8402,,2025-10-13 13:35:28+00:00,,Mulvane K-53  US-160,KTA-KTA021SB,nan,-,,KTA,1.93,
2025-10-14,225979029659091,B6010075136,8438,,2025-10-13 15:30:40+00:00,,Hardy North Plaza,HDY-HDYN-08,nan,-,,HCTRA,7.0,
2025-10-09,162705905924047,B5010058944,206,,2025-10-08 04:18:21+00:00,,El Dorado US-77  US-254,KTA-KTA073SB,nan,-,,KTA,0.69,
2025-10-15,138028327995659,B6010035637,8349,,2025-10-14 08:50:50+00:00,,Sam Houston Central Plaza,SHT-SAMC-10,nan,-,,HCTRA,7.0,
2025-10-15,332541349728589,B6010086514,8505,,2025-10-14 12:17:58+00:00,,North Gessner Rd,SHT-GESS-20,nan,-,,HCTRA,5.0,
2025-10-16,292851135309000,B6010125738,S24038,,2025-10-14 02:50:03+00:00,,Washington-Dulles Access and Toll Road MLP,078,nan,-,,VDOT,4.0,
2025-10-14,186030400869563,B6010174780,S17033,,2025-10-13 22:48:15+00:00,,Sam Houston South Plaza,SHT-SAMS-08,nan,-,,HCTRA,1.35,
2025-10-09,316718063917491,B5010065476,S23032,,2025-10-08 07:58:56+00:00,,Exit 259 - Unionville-Indian Trail Road,M06,nan,-,,NCTA,0.22,
2025-10-10,131159442236769,B6010075137,8635,,2025-10-08 13:34:42+00:00,,Sam Houston NE Mainlane,SHT-SAMNE-10,nan,-,,HCTRA,7.0,
2025-10-10,126530246509369,B6010057271,S23022,,2025-10-08 01:30:52+00:00,,US 69,CHR-US69-04,nan,-,,OTA,3.08,
2025-10-11,213605079881653,B6010204984,8508,,2025-10-09 12:06:00+00:00,,gpw-cmbml-21,GPW-CMBML,nan,-,,HCTRA,6.84,
2025-10-16,109150306895969,B6010035600,8555,,2025-10-14 09:27:41+00:00,,9 - New Brunswick/Admin Bldg,9,nan,-,,NJTP,10.55,
2025-10-12,323111337189595,B6010174710,8603,,2025-10-10 15:14:19+00:00,,Hardy North Plaza,HDY-HDYN-09,nan,-,,HCTRA,7.0,
2025-10-10,233105638994664,B6010086526,8655,,2025-10-09 12:13:30+00:00,,Clay Rd,SHT-WCLAY-36,nan,-,,HCTRA,5.0,
2025-10-15,144112930415531,B6010052915,8606,,2025-10-12 16:38:43+00:00,,JFK : John F. Kennedy Memorial Highway,JFK,nan,-,,MdTA,48.0,
2025-10-13,187135028408276,B6010219249,8309,,2025-10-11 16:11:39+00:00,,Cameron Plaza,H13-CAMRO,nan,-,,HCTRA,6.54,
2025-10-12,209520946321487,C494HR-TN,S23015,,2025-10-10 21:11:52+00:00,,Exit 257 - Indian Trail-Fairview Road,M03,nan,-,,NCTA,0.36,
2025-10-15,112659795842412,B5010065476,S23032,,2025-10-13 21:40:44+00:00,,Exit 257 - Indian Trail-Fairview Road,M03,nan,-,,NCTA,0.36,
2025-10-15,142169231527293,B5010022289,S22012,,2025-10-10 13:52:18+00:00,,Cassoday K-177  El Dorado US-77,KTA-KTA087SB,nan,-,,KTA,0.77,
2025-11-06,193352183788543,B6010035600,8555,,2025-10-14 13:51:32+00:00,,Exit 43,H43,nan,-,,PTC,-29.19,
2025-10-12,170019575001139,B5010061410,8531,,2025-10-11 14:39:25+00:00,,Airport Plaza,H13-APORT,nan,-,,HCTRA,4.36,
2025-10-14,250628096662827,B6010052896,8605,,2025-10-13 16:13:44+00:00,,Parker Main Lane Gantry (MLP3),DNT-MLP3-12,nan,-,,NTTA,4.92,
2025-10-15,146779561638223,B6010205361,8518,,2025-10-14 10:54:07+00:00,,gpw-vrml-51,GPW-VRML,nan,-,,HCTRA,4.4,
2025-10-11,288544569421151,B6010205367,8427,,2025-10-10 12:18:48+00:00,,130-dkcrp-06 307,H13-DECKC,nan,-,,HCTRA,6.54,
2025-10-10,146569399344689,B6010075444,8634,,2025-10-08 07:54:01+00:00,,MLK Jr. Blvd. SB Mainline,183S-MLKMLSB-03,nan,-,,CTRMA,6.0,
2025-10-10,145168256219253,B6010087081,8519,,2025-10-09 13:06:48+00:00,,Josey Main Lane Gantry (MLG2),SRT-MLG2-12,nan,-,,NTTA,7.64,
2025-10-10,920077406758790,B5010017818,9115,,2025-10-09 10:15:05+00:00,,Lewis and Clark Bridge,ECS,nan,-,,RIVERLIN,13.33,
2025-10-09,158697923109824,B6010035670,8547,,2025-10-08 11:08:40+00:00,,El Dorado US-77  Andover 21st,KTA-KTA061SB,nan,-,,KTA,1.93,
2025-10-11,893214006850349,B6010039121,8435,,2025-10-08 13:14:19+00:00,,130-skysp-02 4104,13C-SKYSB,nan,-,,HCTRA,12.73,
2025-10-15,803605291288227,B6010039141,8312,,2025-10-14 04:35:51+00:00,,I35W-I-30 W US 287 Entrance,I35W-I35WI30EAST-37,nan,-,,NTTA,9.0,
2025-10-09,317826310936990,B5010065476,S23032,,2025-10-07 21:29:12+00:00,,Exit 260 - N. Rocky River Road,M07,nan,-,,NCTA,0.63,
2025-10-10,130353773388562,B5010065476,S23032,,2025-10-09 07:00:21+00:00,,Exit 255 - U.S. 74 (West),M02,nan,-,,NCTA,0.3,
2025-10-10,316685380382429,B6010057268,S23012,,2025-10-09 08:15:38+00:00,,Exit 255 - U.S. 74 (West),M02,nan,-,,NCTA,0.3,
2025-10-09,134557612958095,B6010107782,8320,,2025-10-08 15:03:03+00:00,,gpw-cfml-21,GPW-CFML,nan,-,,HCTRA,6.08,
2025-10-11,202674368647940,B5010061410,8531,,2025-10-10 18:56:40+00:00,,Wichita K-96  US-54 Kellogg,KTA-KTA050NB,nan,-,,KTA,0.41,
2025-10-15,194740751724079,B6010204230,8516,,2025-10-14 12:18:51+00:00,,gpw-spnml-51,GPW-SPNML,nan,-,,HCTRA,10.04,
2025-10-09,500161755196493,B6010057263,S23027,,2025-10-08 14:09:53+00:00,,Wichita K-15  I-135/I-235,KTA-KTA043NB,nan,-,,KTA,0.14,
2025-10-10,141402771565900,U511827-TN,15003,,2025-10-09 03:51:27+00:00,,Coit Main Lane Gantry (MLP7),PGBT-MLP7-09,nan,-,,NTTA,9.9,
2025-10-13,324001059362465,B6010119922,8348,,2025-10-12 11:04:44+00:00,,Mulvane K-53  US-160,KTA-KTA021SB,nan,-,,KTA,1.93,
2025-10-15,884143519599417,B6010125735,S24018,,2025-10-13 23:13:37+00:00,,138 - Becker Road,004131,nan,-,,FDOT,0.43,
2025-10-15,957385295561272,B6010065780,9076,,2025-10-14 09:20:00+00:00,,h13-mustc-06,H13-MUSTC,nan,-,,HCTRA,6.54,
2025-11-06,336576575540415,B6010174786,S20046,,2025-10-14 10:19:58+00:00,,Exit 43,H 43,nan,-,,PTC,29.19,
2025-10-14,228065443409793,B6010205436,1247,,2025-10-12 14:36:50+00:00,,13c-blusb-01,13C-BLUNB,nan,-,,HCTRA,27.81,
2025-10-10,329228798798454,B5010058928,S23000,,2025-10-08 06:11:59+00:00,,Decker Prairie Mainlane - EZ TAG Only,MCT-DECKR-09,nan,-,,HCTRA,1.54,
2025-10-10,766629529165918,B5010017613,8526,,2025-10-08 17:30:11+00:00,,13c-blusb-01,13C-BLUNB,nan,-,,HCTRA,27.81,
2025-10-09,822686048274071,B6010107782,8320,,2025-10-08 15:13:28+00:00,,gpw-rfzml-16,GPW-RFZML,nan,-,,HCTRA,3.28,
2025-10-10,200197544886300,B6010205359,8529,,2025-10-09 06:51:17+00:00,,gpw-obml-50,GPW-OBML,nan,-,,HCTRA,4.8,
2025-10-11,884019823477051,B6010086545,8405,,2025-10-09 14:10:11+00:00,,gpw-mokml-50,GPW-MOKML,nan,-,,HCTRA,5.6,
2025-10-08,858758788555117,B6010066112,S24003,,2025-10-07 22:14:58+00:00,,Lecompton K-10  Topeka I-70  K-4,KTA-KTA191EB,nan,-,,KTA,0.72,
2025-10-14,790723855490941,B6010057263,S23027,,2025-10-13 15:06:15+00:00,,Haysville-Derby 71st  Mulvane K-53,KTA-KTA036SB,nan,-,,KTA,0.29,
2025-10-15,513939529892757,B6010065780,9076,,2025-10-14 09:38:52+00:00,,130-dkcrp-06 307,H13-DECKC,nan,-,,HCTRA,6.54,
2025-10-15,130975572415044,B6010057263,S23027,,2025-10-14 17:27:35+00:00,,Lawrence : US-59,KTA-KTA202EB,nan,-,,KTA,0.1,
2025-10-14,328715625750000,B6010167843,8430,,2025-10-12 16:17:59+00:00,,Custer Main Lane Gantry (MLG3),SRT-MLG3-12,nan,-,,NTTA,10.56,
2025-10-15,535843452594802,B6010119955,8347,,2025-10-14 14:39:18+00:00,,Lawrence : US-59,KTA-KTA202EB,nan,-,,KTA,0.69,
2025-10-13,209584084311618,B6010167874,8444,,2025-10-11 08:48:03+00:00,,130-skysp-02 4104,13C-SKYSB,nan,-,,HCTRA,12.73,
2025-10-15,798577105317358,B5010060221,8152,,2025-10-14 13:33:21+00:00,,Cameron Plaza,H13-CAMRO,nan,-,,HCTRA,6.54,
2025-10-10,552980350907405,B5010060218,8185,,2025-10-08 10:45:28+00:00,,13c-blusb-01,13C-BLUSB,nan,-,,HCTRA,27.81,
2025-10-10,198714714418269,B6010035659,8546,,2025-10-09 15:58:29+00:00,,Belt Line Main Lane Gantry (MLP10),PGBT-MLP10-07,nan,-,,NTTA,2.96,
2025-10-10,959866529850589,B5010058944,206,,2025-10-09 23:59:35+00:00,,Emporia I-35  Cassoday K-177,KTA-KTA123NB,nan,-,,KTA,4.83,
2025-10-14,291142928977732,B6010057263,S23027,,2025-10-13 14:08:27+00:00,,Emporia I-35  Cassoday K-177,KTA-KTA123NB,nan,-,,KTA,1.68,
2025-10-16,176658151196340,B6010052915,8606,,2025-10-13 07:15:33+00:00,,"John F. Kennedy Memorial Hwy (Delaware Tpke, Newark Plaza)",D95,nan,-,,DelDOT,10.0,
2025-10-15,609509235240212,B6010052900,8616,,2025-10-13 18:02:21+00:00,,Airport Plaza,H13-APORT,nan,-,,HCTRA,6.54,
2025-10-11,910581147184884,B6010205367,8427,,2025-10-08 11:20:13+00:00,,Sam Houston North Plaza,SHT-SAMN-06,nan,-,,HCTRA,7.0,
2025-10-11,477124599149512,B6010105935,8335,,2025-10-09 12:45:32+00:00,,Sam Houston North Plaza,SHT-SAMN-06,nan,-,,HCTRA,3.5,
2025-10-14,331361006944221,B6010052896,8605,,2025-10-13 18:22:06+00:00,,Josey Lane - North (NJOLN),SRT-NJOLN-03,nan,-,,NTTA,3.56,
2025-10-10,131314149502962,B6010075118,8620,,2025-10-08 17:05:23+00:00,,130-skynp-01 4103,13C-SKYNB,nan,-,,HCTRA,12.73,
2025-10-09,132336385667728,B6010107782,8320,,2025-10-08 15:08:46+00:00,,gpw-mokml-50,GPW-MOKML,nan,-,,HCTRA,5.6,
2025-10-15,184001761982842,B5010028610,8446,,2025-10-14 18:30:11+00:00,,Cameron Plaza,H13-CAMRO,nan,-,,HCTRA,6.54,
2025-10-12,162255426712395,B5010065476,S23032,,2025-10-11 07:53:03+00:00,,Exit 264 - U.S. 601,M10,nan,-,,NCTA,0.29,
